Lugar ID,Lugar Name,Scraper Name
1131,Constitution and Civil Justice,Subcommittee on Constitution
1132,"Courts, Intellectual Property, and the Internet","Subcommittee on Courts, Civil Liberties, and the Administration of Justice"
1133,"Crime, Terrorism, Homeland Security, and Investigations",Subcommittee on Crime and Criminal Justice
1134,Immigration and Border Security,"Subcommittee on Immigration, Refugees, and International Law"
1135,"Regulatory Reform, Commercial and Antitrust Law",Subcommittee on Monopolies and Commercial Law
1136,Antitrust Task Force,
1137," Citizenship, Refugees, Border Security, and International Law","Subcommittee on Immigration, Refugees, and International Law"
1138,Commercial and Administrative Law,"Subcommittee on Courts, Civil Liberties, and the Administration of Justice"
1139,"titution, Civil Rights, and Civil Liberties",Subcommittee on Constitution
1141,Energy and Mineral Resources,Subcommittee on Energy and the Environment
1142,Federal Lands,Subcommittee on National Parks and Public Lands
1143,"Indian, Insular and Alaska Native Affairs",Subcommittee on Indian and Alaska Native Affairs
1144,Oversight and Investigations,Subcommittee on General Oversight and California Desert Lands
1145,"Water, Power and Oceans",Subcommittee on Water and Power Resources
1146,National Parks and Public Lands,Subcommittee on National Parks and Public Lands
1147,Subcommittee on Public Lands and Environmental Regulation,Subcommittee on National Parks and Public Lands
1148,"Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs",Subcommittee on Insular Affairs
1151,"Government Management, Finance, and Accountability","Subcommittee on Government Management, Finance, and Accountability"
1152,"Healthcare, Benefits, and Administrative Rules",
1153,Information Technology,
1154,Intergovernmental Relations,Subcommittee on Intergovernmental Relations and Human Resources
1155,"Environment, Energy, and Natural Resources","Subcommittee on Environment, Energy, and Natural Resources"
1156,National Security,Subcommittee on Legislation and National Security
1161,Legislative and Budget Process,Subcommittee on Legislative Process
1162,Rules and Organization of the House,Subcommittee on Rules of the House
1171,Subcommittee on Energy,Subcommittee on Energy Development and Applications
1172,Subcommittee on Environment,"Subcommittee on Environment, Technology, and Standards"
1173,Investigations and Oversight,Subcommittee on Investigations and Oversight
1174,Subcommittee on Research and Technology,"Subcommittee on Technology, Environment and Aviation"
1175,Subcommittee on Space,Subcommittee on Space Science Applications
1176,Subcommittee on Energy and Environment,Subcommittee on Energy and Environment
1177,Subcommittee on Research and Science,Subcommittee on Science
1178,Subcommittee on Technology and Innovation,"Subcommittee on Environment, Technology, and Standards"
1179,Select Committee on Energy Independence and Global Warming ,
1181,Energy and Agriculture,"Subcommittee on Energy, Environment, and Safety Issues Affecting Small Business"
1182,The Subcommittee on Health and Technology ,
1183,"Tax, Access to Equity Capital and Business Opportunities","Subcommittee on Tax, Access to Equity Capital and Business Opportunities"
1184,Investigations and Oversight,Subcommittee on Investigations and Oversight
1185,The Subcommittee on Contracting and Workforce ,
1191,Aviation,Subcommittee on Aviation
1192,Coast Guard and Maritime Transportation,Subcommittee on Coast Guard and Maritime Transportation
1193,Public Buildings and Economic Development,Subcommittee on Public Buildings and Economic Development
1194,Highways and Transit,Subcommittee on Highways and Transit
1195,"Railroads, Pipelines, and Hazardous Materials",Subcommittee on Railroads
1196,Water Resources and Environment,Subcommittee on Water Resources
1197,Panel on Public-Private Partnerships ,
1198,Panel on 21st Century Freight Transportation,
1201,Disability Assistance and Memorial Affairs,Subcommittee on Disability Assistance and Memorial Affairs
1202,Economic Opportunity,Subcommittee on Economic Opportunity
1203,Health,Subcommittee on Hospitals and Health Care
1204,Oversight and Investigations,Subcommittee on Oversight and Investigations
1211,Health,Subcommittee on Health
1212,Human Resources,Subcommittee on Public Assistance and Unemployment Compensation
1213,Oversight,Subcommittee on Oversight
1214,Social Security,Subcommittee on Social Security
1215,Trade,Subcommittee on Trade
1216,Tax Policy,
10201,"VA, HUD, and Independent Agencies",Subcommittee on HUD-Independent Agencies
10202,Foreign Operations,Subcommittee on Foreign Operations
10203,Transportation and Related Agencies,Subcommittee on Transportation
10301,Panel on Defense Acquisition Reform,
11001,First Responder Communications,
11002,Prevention of Nuclear and Biological Attack,Subcommittee on Prevention of Nuclear and Biological Attack
11003,"Science, and Research and Development","Subcommittee on Cybersecurity, Science, and Research and Development"
,,"Subcommittee on Technology, Information Policy, Intergovernmental Relations and Procurement Reform"
,,Subcommittee on Crime
,,"Subcommittee on Telecommunications, Consumer Protection and Finance"
,,Subcommittee on Aviation
,,Subcommittee on Financial Service and General Government
,,Subcommittee on Accounts
,,Subcommittee on Program and Budget Authorization
,,Subcommittee on Social Security and Income Maintenance Programs
,,Subcommittee on Coalition Defense and Reinforcing Forces
,,"Subcommittee on Compensation, Pension and Insurance"
,,Subcommittee on Fossil and Synthetic Fuels
,,Subcommittee on Preparedness
,,Subcommittee on Juvenile Justice
,,Republican
